,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8458646616541353,397,0,82,53,1.0,0.3925925925925926,0.5638297872340425
1,1,0.8421052631578947,397,0,84,51,1.0,0.37777777777777777,0.5483870967741935
2,2,0.8421052631578947,397,0,84,51,1.0,0.37777777777777777,0.5483870967741935
3,3,0.8364661654135338,397,0,87,48,1.0,0.35555555555555557,0.5245901639344263
4,4,0.8233082706766918,397,0,94,41,1.0,0.3037037037037037,0.4659090909090909
5,5,0.8195488721804511,397,0,96,39,1.0,0.28888888888888886,0.4482758620689655
6,6,0.8157894736842105,397,0,98,37,1.0,0.2740740740740741,0.43023255813953487
7,7,0.8157894736842105,397,0,98,37,1.0,0.2740740740740741,0.43023255813953487
8,8,0.8157894736842105,397,0,98,37,1.0,0.2740740740740741,0.43023255813953487
9,9,0.8157894736842105,397,0,98,37,1.0,0.2740740740740741,0.43023255813953487
10,All,0.8195488721804511,397,0,96,39,1.0,0.28888888888888886,0.4482758620689655
