,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.7905604719764012,504,0,142,32,1.0,0.1839080459770115,0.3106796116504854
1,1,0.7890855457227138,476,28,115,59,0.6781609195402298,0.3390804597701149,0.4521072796934866
2,2,0.7831858407079646,476,28,119,55,0.6626506024096386,0.3160919540229885,0.42801556420233466
3,3,0.7802359882005899,498,6,143,31,0.8378378378378378,0.1781609195402299,0.2938388625592417
4,4,0.7802359882005899,498,6,143,31,0.8378378378378378,0.1781609195402299,0.2938388625592417
5,5,0.7787610619469026,472,32,118,56,0.6363636363636364,0.3218390804597701,0.4274809160305344
6,6,0.7787610619469026,473,31,119,55,0.6395348837209303,0.3160919540229885,0.4230769230769231
7,7,0.7787610619469026,480,24,126,48,0.6666666666666666,0.27586206896551724,0.3902439024390244
8,8,0.7772861356932154,480,24,127,47,0.6619718309859155,0.27011494252873564,0.3836734693877551
9,9,0.775811209439528,467,37,115,59,0.6145833333333334,0.3390804597701149,0.437037037037037
10,All,0.7787610619469026,480,24,126,48,0.6666666666666666,0.27586206896551724,0.3902439024390244
