,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.804093567251462,477,0,134,73,1.0,0.3526570048309179,0.5214285714285715
1,1,0.7602339181286549,477,0,164,43,1.0,0.20772946859903382,0.34400000000000003
2,2,0.7807017543859649,477,0,150,57,1.0,0.2753623188405797,0.4318181818181819
3,3,0.7412280701754386,477,0,177,30,1.0,0.14492753623188406,0.25316455696202533
4,4,0.783625730994152,462,15,133,74,0.8314606741573034,0.357487922705314,0.5
5,5,0.7441520467836257,476,1,174,33,0.9705882352941176,0.15942028985507245,0.27385892116182575
6,6,0.7383040935672515,477,0,179,28,1.0,0.13526570048309178,0.23829787234042552
7,7,0.75,477,0,171,36,1.0,0.17391304347826086,0.29629629629629634
8,8,0.7792397660818714,462,15,136,71,0.8255813953488372,0.34299516908212563,0.48464163822525597
9,9,0.72953216374269,477,0,185,22,1.0,0.10628019323671498,0.19213973799126638
10,All,0.7353801169590644,477,0,181,26,1.0,0.12560386473429952,0.22317596566523604
