,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.7279236276849642,250,0,114,55,1.0,0.3254437869822485,0.49107142857142855
1,1,0.7231503579952268,250,0,116,53,1.0,0.3136094674556213,0.47747747747747743
2,2,0.7231503579952268,250,0,116,53,1.0,0.3136094674556213,0.47747747747747743
3,3,0.7231503579952268,250,0,116,53,1.0,0.3136094674556213,0.47747747747747743
4,4,0.7231503579952268,250,0,116,53,1.0,0.3136094674556213,0.47747747747747743
5,5,0.7064439140811456,250,0,123,46,1.0,0.27218934911242604,0.42790697674418604
6,6,0.720763723150358,250,0,117,52,1.0,0.3076923076923077,0.47058823529411764
7,7,0.6921241050119332,250,0,129,40,1.0,0.23668639053254437,0.3827751196172249
8,8,0.6921241050119332,250,0,129,40,1.0,0.23668639053254437,0.3827751196172249
9,9,0.6968973747016707,250,0,127,42,1.0,0.2485207100591716,0.3981042654028436
10,All,0.7231503579952268,250,0,116,53,1.0,0.3136094674556213,0.47747747747747743
