,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.7933227344992051,455,0,130,44,1.0,0.25287356321839083,0.4036697247706423
1,1,0.7869634340222575,455,0,134,40,1.0,0.22988505747126436,0.37383177570093457
2,2,0.7837837837837838,455,0,136,38,1.0,0.21839080459770116,0.3584905660377358
3,3,0.7821939586645469,455,0,137,37,1.0,0.21264367816091953,0.3507109004739336
4,4,0.766295707472178,455,0,147,27,1.0,0.15517241379310345,0.26865671641791045
5,5,0.7583465818759937,455,0,152,22,1.0,0.12643678160919541,0.22448979591836737
6,6,0.7567567567567568,455,0,153,21,1.0,0.1206896551724138,0.21538461538461542
7,7,0.7790143084260731,455,0,139,35,1.0,0.20114942528735633,0.3349282296650718
8,8,0.7567567567567568,455,0,153,21,1.0,0.1206896551724138,0.21538461538461542
9,9,0.7774244833068362,455,0,140,34,1.0,0.19540229885057472,0.3269230769230769
10,All,0.7329093799682035,455,0,168,6,1.0,0.034482758620689655,0.06666666666666667
