,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8026315789473685,513,0,135,36,1.0,0.21052631578947367,0.34782608695652173
1,1,0.77046783625731,513,0,157,14,1.0,0.08187134502923976,0.15135135135135133
2,2,0.7807017543859649,513,0,150,21,1.0,0.12280701754385964,0.21875
3,3,0.7675438596491229,513,0,159,12,1.0,0.07017543859649122,0.13114754098360656
4,4,0.7675438596491229,513,0,159,12,1.0,0.07017543859649122,0.13114754098360656
5,5,0.7777777777777778,513,0,152,19,1.0,0.1111111111111111,0.19999999999999998
6,6,0.7675438596491229,513,0,159,12,1.0,0.07017543859649122,0.13114754098360656
7,7,0.7646198830409356,513,0,161,10,1.0,0.05847953216374269,0.11049723756906078
8,8,0.8011695906432749,513,0,136,35,1.0,0.2046783625730994,0.3398058252427184
9,9,0.7675438596491229,513,0,159,12,1.0,0.07017543859649122,0.13114754098360656
10,All,0.7675438596491229,513,0,159,12,1.0,0.07017543859649122,0.13114754098360656
