,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8328445747800587,485,0,114,83,1.0,0.4213197969543147,0.5928571428571429
1,1,0.8064516129032258,485,0,132,65,1.0,0.3299492385786802,0.4961832061068702
2,2,0.8005865102639296,485,0,136,61,1.0,0.3096446700507614,0.4728682170542636
3,3,0.8049853372434017,485,0,133,64,1.0,0.3248730964467005,0.49042145593869724
4,4,0.8020527859237536,485,0,135,62,1.0,0.3147208121827411,0.47876447876447875
5,5,0.7873900293255132,485,0,145,52,1.0,0.2639593908629442,0.4176706827309237
6,6,0.7947214076246334,485,0,140,57,1.0,0.2893401015228426,0.4488188976377952
7,7,0.7947214076246334,485,0,140,57,1.0,0.2893401015228426,0.4488188976377952
8,8,0.7873900293255132,485,0,145,52,1.0,0.2639593908629442,0.4176706827309237
9,9,0.7859237536656891,485,0,146,51,1.0,0.25888324873096447,0.4112903225806452
10,All,0.8064516129032258,485,0,132,65,1.0,0.3299492385786802,0.4961832061068702
